name,latitude,longitude
Central/Western,22.284892,114.144081
Southern,22.24752,114.15998
Eastern,22.28295,114.2194 
Kwun Tong,22.30981,114.23151 
Sham Shui Po,22.33041,114.15911 
Kwai Chung,22.35695,114.12938 
Tsuen Wan,22.37163,114.11456
Tseung Kwan O,22.31786,114.2601 
Yuen Long,22.44506,114.02279 
Tuen Mun,22.39112,113.97679
Tung Chung,22.28887,113.94355
Tai Po,22.4511,114.16426 
Sha Tin,22.37642,114.18459
North,22.49695,114.12844
Tap Mun,22.47129,114.36072
Causeway Bay,22.28014,114.18508 
Central,22.2818,114.15812
Mong Kok,22.32261,114.16826 